,INDICADORSSOCIOECONÒMICS2019,BARRI,DISTRICTE,BARCELONA
0,Població,15.112,108.331,1.666.530
1,Superfície (km2),"1,1","4,1","101,4"
2,Densitat (hab/km2),13.795,26.288,16.443
3,Població per sexe,,,
4,Dones,7.613,50.134,874.423
5,Homes,7.499,58.197,792.107
6,Població per edat (en %),,,
7,0-14,"7,4","10,1","12,3"
8,15-24,"9,3","10,6","9,4"
9,25-64,"66,4","67,0","57,2"
10,65 i mes,"17,0","12,3","21,1"
11,Població per lloc de naixement (en %),,,
12,Barcelona,"37,5","27,0","49,3"
13,Resta Catalunya,"3,9","4,3","7,2"
14,Resta Espanya,"11,8","10,0","15,7"
15,Estranger,"46,8","58,6","27,8"
16,Població per nacionalitat (en %),,,
17,Espanyols,"59,5","48,5","78,3"
18,Estrangers,"40,5","51,5","21,7"
19,Principals nacionalitats estrangeres,,,
20,,Itàlia,Pakistan,Itàlia
21,,1.182,7.607,39.863
22,,Pakistan,Itàlia,Pakistan
23,,433,6.339,22.749
24,,"Marroc, el",Filipines,Xina
25,,334,4.719,22.477
26,% Titulats superiors i CFGS (1),"30,6","32,1","33,4"
27,Taxa natalitat / 1.000 hab.,"5,7","7,6","7,7"
28,Població de més de 65 anys que viu sola (%) (2),"32,8","32,2","25,7"
29,Índex de sobreenvelliment  (3),"58,1","52,6","53,4"
30,Turismes (persones físiques) / 1.000 hab (4),"196,9","126,5","263,5"
31,Motos (persones físiques) / 1.000 hab (4),"105,3","73,5","119,8"
32,Ciclomotors (persones físiques) / 1.000 hab (4),"33,3","26,0","25,0"
33,Nombre d'aturats registrats (5),978,6.290,69.047
34,Renda familiar disponible per habitant (2017),"79,6","84,3","100,0"
35,Índex Barcelona=100,,,
